"2021-07-13 16:14:05 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Starting ValidationModuleApplication using Java 16.0.1 on WINDOWS-RUASI72 with PID 8796 (C:\Users\user\Desktop\Java\validationModule\target\classes started by user in C:\Users\user\Desktop\Java\validationModule)
""2021-07-13 16:14:05 [restartedMain] INFO  c.v.v.ValidationModuleApplication - No active profile set, falling back to default profiles: default
""2021-07-13 16:14:06 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2021-07-13 16:14:06 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2021-07-13 16:14:14 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-07-13 16:14:14 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-07-13 16:14:14 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
""2021-07-13 16:14:14 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-07-13 16:14:14 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7616 ms
""2021-07-13 16:14:16 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-07-13 16:14:17 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-07-13 16:14:17 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Started ValidationModuleApplication in 15.269 seconds (JVM running for 19.746)
""2021-07-13 16:14:30 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
